[INTERNAL_LOG][2018-06-07 21:22:07,119][INFO][find_string()] No iframe in assets/html-fr/license.html
[INTERNAL_LOG][2018-06-07 21:22:07,119][INFO][find_string()] File: assets/html-fr/scanning.html
[INTERNAL_LOG][2018-06-07 21:22:07,121][INFO][find_string()] No iframe in assets/html-fr/scanning.html
[INTERNAL_LOG][2018-06-07 21:22:07,121][INFO][find_string()] File: assets/html-fr/sharing.html
[INTERNAL_LOG][2018-06-07 21:22:07,122][INFO][find_string()] No iframe in assets/html-fr/sharing.html
[INTERNAL_LOG][2018-06-07 21:22:07,122][INFO][find_string()] File: assets/html-fr/whatsnew.html
[INTERNAL_LOG][2018-06-07 21:22:07,122][INFO][find_string()] No iframe in assets/html-fr/whatsnew.html
[INTERNAL_LOG][2018-06-07 21:22:07,122][INFO][find_string()] File: assets/html-it/about1d.html
[INTERNAL_LOG][2018-06-07 21:22:07,123][INFO][find_string()] No iframe in assets/html-it/about1d.html
[INTERNAL_LOG][2018-06-07 21:22:07,123][INFO][find_string()] File: assets/html-it/about2d.html
[INTERNAL_LOG][2018-06-07 21:22:07,125][INFO][find_string()] No iframe in assets/html-it/about2d.html
[INTERNAL_LOG][2018-06-07 21:22:07,125][INFO][find_string()] File: assets/html-it/index.html
[INTERNAL_LOG][2018-06-07 21:22:07,126][INFO][find_string()] No iframe in assets/html-it/index.html
[INTERNAL_LOG][2018-06-07 21:22:07,126][INFO][find_string()] File: assets/html-it/license.html
[INTERNAL_LOG][2018-06-07 21:22:07,127][INFO][find_string()] No iframe in assets/html-it/license.html
[INTERNAL_LOG][2018-06-07 21:22:07,127][INFO][find_string()] File: assets/html-it/scanning.html
[INTERNAL_LOG][2018-06-07 21:22:07,128][INFO][find_string()] No iframe in assets/html-it/scanning.html
[INTERNAL_LOG][2018-06-07 21:22:07,128][INFO][find_string()] File: assets/html-it/sharing.html
[INTERNAL_LOG][2018-06-07 21:22:07,129][INFO][find_string()] No iframe in assets/html-it/sharing.html
[INTERNAL_LOG][2018-06-07 21:22:07,130][INFO][find_string()] File: assets/html-it/whatsnew.html
[INTERNAL_LOG][2018-06-07 21:22:07,130][INFO][find_string()] No iframe in assets/html-it/whatsnew.html
[INTERNAL_LOG][2018-06-07 21:22:07,130][INFO][find_string()] File: assets/html-ja/about1d.html
[INTERNAL_LOG][2018-06-07 21:22:07,132][INFO][find_string()] No iframe in assets/html-ja/about1d.html
[INTERNAL_LOG][2018-06-07 21:22:07,132][INFO][find_string()] File: assets/html-ja/about2d.html
[INTERNAL_LOG][2018-06-07 21:22:07,133][INFO][find_string()] No iframe in assets/html-ja/about2d.html
